reference,title,author,publication title,publication year,nb pMCI,nb sMCI,time to prediction (in years),dataset,socio-demographic features,APOE,cog - general,cog - domain,cog - new / specific,T1 - voxel based,T1 - roi (whole brain),T1 - selected roi,wm hyperintensities,PET FDG,PET Amyloid,PET Tau,CSF,Amyloid status,DTI,fMRI,EEG/MEG,Others,logitudinal,feature selection,advanced feature processing,trained on AD vs CN,algorithm,cross-validation method,AUC,accuracy,balanced accuracy,sensitivity,specificity
Lehallier et al. 2016,Combined plasma and cerebrospinal fluid signature for the prediction of midterm progression from mild cognitive impairment to Alzheimer disease,"Lehallier, B.; Essioux, L.; Gayan, J.; Alexandridis, R.; Nikolcheva, T.; Wyss-Coray, T.; Britschgi, M.",JAMA Neurology,2016,39.0,30.0,3,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Regularized logistic regression,repeated single split,,,80.0,88.0,72.0
"García-Herranz, Díaz-Mardomingo, et Peraita 2016",Neuropsychological predictors of conversion to probable Alzheimer disease in elderly with mild cognitive impairment,"García-Herranz, S.; Díaz-Mardomingo, M.C.; Peraita, H.",Journal of Neuropsychology,2016,24.0,360.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Falahati et al. 2016,"The Effect of Age Correction on Multivariate Classification in Alzheimer’s Disease, with a Focus on the Characteristics of Incorrectly and Correctly Classified Subjects","Falahati, F.; Ferreira, D.; Soininen, H.; Mecocci, P.; Vellas, B.; Tsolaki, M.; Kłoszewska, I.; Lovestone, S.; Eriksdotter, M.; Wahlund, L.-O.; Simmons, A.; Westman, E.",Brain Topography,2016,62.0,260.0,1,ADNI and AddNeuroMed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,OPLS,not described,,63.0,67.80000000000001,75.4,60.2
Falahati et al. 2016,"The Effect of Age Correction on Multivariate Classification in Alzheimer’s Disease, with a Focus on the Characteristics of Incorrectly and Correctly Classified Subjects","Falahati, F.; Ferreira, D.; Soininen, H.; Mecocci, P.; Vellas, B.; Tsolaki, M.; Kłoszewska, I.; Lovestone, S.; Eriksdotter, M.; Wahlund, L.-O.; Simmons, A.; Westman, E.",Brain Topography,2016,90.0,232.0,1.5,ADNI and AddNeuroMed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,OPLS,not described,,67.7,70.15,75.6,64.7
Falahati et al. 2016,"The Effect of Age Correction on Multivariate Classification in Alzheimer’s Disease, with a Focus on the Characteristics of Incorrectly and Correctly Classified Subjects","Falahati, F.; Ferreira, D.; Soininen, H.; Mecocci, P.; Vellas, B.; Tsolaki, M.; Kłoszewska, I.; Lovestone, S.; Eriksdotter, M.; Wahlund, L.-O.; Simmons, A.; Westman, E.",Brain Topography,2016,126.0,196.0,2,ADNI and AddNeuroMed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,OPLS,not described,,68.9,69.1,69.8,68.4
Falahati et al. 2016,"The Effect of Age Correction on Multivariate Classification in Alzheimer’s Disease, with a Focus on the Characteristics of Incorrectly and Correctly Classified Subjects","Falahati, F.; Ferreira, D.; Soininen, H.; Mecocci, P.; Vellas, B.; Tsolaki, M.; Kłoszewska, I.; Lovestone, S.; Eriksdotter, M.; Wahlund, L.-O.; Simmons, A.; Westman, E.",Brain Topography,2016,150.0,172.0,3,ADNI and AddNeuroMed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,OPLS,not described,,70.8,70.7,68.7,72.7
Collij et al. 2016,Application of machine learning to arterial spin labeling in mild cognitive impairment and Alzheimer disease,"Collij, L.E.; Heeman, F.; Kuijer, J.P.A.; Ossenkoppele, R.; Benedictus, M.R.; Möller, C.; Verfaillie, S.C.J.; Sanz-Arigita, E.J.; Van Berckel, B.N.M.; Van Der Flier, W.M.; Scheltens, P.; Barkhof, F.; Wink, A.M.",Radiology,2016,12.0,12.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Clark et al. 2016,Novel verbal fluency scores and structural brain imaging for prediction of cognitive outcome in mild cognitive impairment,"Clark, D.G.; McLaughlin, P.M.; Woo, E.; Hwang, K.; Hurtz, S.; Ramirez, L.; Eastman, J.; Dukes, R.-M.; Kapur, P.; DeRamus, T.P.; Apostolova, L.G.","Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",2016,24.0,83.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
X. Chen et al. 2016,Potential clinical value of multiparametric pet in the prediction of Alzheimer's disease progression,"Chen, X.; Zhou, Y.; Wang, R.; Cao, H.; Reid, S.; Gao, R.; Han, D.",PLoS ONE,2016,24.0,24.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Arco et al. 2016,Short-term prediction of MCI to AD conversion based on longitudinal MRI analysis and neuropsychological tests,"Arco, J.E.; Ramírez, J.; Górriz, J.M.; Puntonet, C.G.; Ruz, M.","Smart Innovation, Systems and Technologies",2016,73.0,61.0,0.5,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,LDA,leave one out,79.23,73.95,73.955,74.14,73.77
Arco et al. 2016,Short-term prediction of MCI to AD conversion based on longitudinal MRI analysis and neuropsychological tests,"Arco, J.E.; Ramírez, J.; Górriz, J.M.; Puntonet, C.G.; Ruz, M.","Smart Innovation, Systems and Technologies",2016,73.0,61.0,0.5,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,LDA,leave one out,79.13,68.75,68.9,65.67,72.13
Arco et al. 2016,Short-term prediction of MCI to AD conversion based on longitudinal MRI analysis and neuropsychological tests,"Arco, J.E.; Ramírez, J.; Górriz, J.M.; Puntonet, C.G.; Ruz, M.","Smart Innovation, Systems and Technologies",2016,73.0,61.0,1,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,LDA,leave one out,76.71,65.55,65.585,67.24,63.93
Ritter et al. 2015,"Multimodal prediction of conversion to Alzheimer's disease based on incomplete biomarkers∗This work was supported by the Bernstein Computational Program of the German Federal Ministry of Education and Research (01GQ1001C, 01GQ0851, GRK 1589/1), the European Regional Development Fund of the European Union (10153458 and 10153460), and Philips Research.∗","Ritter, Kerstin; Schumacher, Julia; Weygandt, Martin; Buchert, Ralph; Allefeld, Carsten; Haynes, John-Dylan","Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",2015,86.0,151.0,3,ADNI,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,Non-linear SVM,repeated k-fold,,,73.44,,
Ritter et al. 2015,"Multimodal prediction of conversion to Alzheimer's disease based on incomplete biomarkers∗This work was supported by the Bernstein Computational Program of the German Federal Ministry of Education and Research (01GQ1001C, 01GQ0851, GRK 1589/1), the European Regional Development Fund of the European Union (10153458 and 10153460), and Philips Research.∗","Ritter, Kerstin; Schumacher, Julia; Weygandt, Martin; Buchert, Ralph; Allefeld, Carsten; Haynes, John-Dylan","Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",2015,86.0,151.0,3,ADNI,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,Random Forest,repeated k-fold,,,69.45,,
Moradi et al. 2015,Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects,"Moradi, Elaheh; Pepe, Antonietta; Gaser, Christian; Huttunen, Heikki; Tohka, Jussi",NeuroImage,2015,100.0,164.0,3,ADNI,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Random Forest,repeated k-fold,90.2,81.72,80.14500000000001,86.65,73.64
Moradi et al. 2015,Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects,"Moradi, Elaheh; Pepe, Antonietta; Gaser, Christian; Huttunen, Heikki; Tohka, Jussi",NeuroImage,2015,100.0,164.0,3,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Random Forest,repeated k-fold,88.19,,,,
Moradi et al. 2015,Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects,"Moradi, Elaheh; Pepe, Antonietta; Gaser, Christian; Huttunen, Heikki; Tohka, Jussi",NeuroImage,2015,100.0,164.0,3,ADNI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Other,repeated k-fold,76.61,74.74,70.22,88.85,51.59
Tong et Gao 2015,Extraction of features from patch based graphs for the prediction of disease progression in AD,"Tong, T.; Gao, Q.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2015,164.0,100.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,MKL,10-fold,81.3,76.3,74.0,83.6,64.4
Tondelli et al. 2015,Role of cerebrospinal fluid biomarkers to predict conversion to dementia in patients with mild cognitive impairment: A clinical cohort study,"Tondelli, M.; Bedin, R.; Chiari, A.; Molinari, M.A.; Bonifacio, G.; Lelli, N.; Trenti, T.; Nichelli, P.",Clinical Chemistry and Laboratory Medicine,2015,31.0,23.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Teipel et al. 2015,The relative importance of imaging markers for the prediction of Alzheimer's disease dementia in mild cognitive impairment - Beyond classical regression,"Teipel, S.J.; Kurth, J.; Krause, B.; Grothe, M.J.",NeuroImage: Clinical,2015,39.0,88.0,not fixed,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Regularized logistic regression,repeated single split,,72.0,,,
Sohn et al. 2015,"Comparison of regional gray matter atrophy, white matter alteration, and glucose metabolism as a predictor of the conversion to alzheimer's disease in mild cognitive impairment","Sohn, B.K.; Yi, D.; Seo, E.H.; Choe, Y.M.; Kim, J.W.; Kim, S.G.; Choi, H.J.; Byun, M.S.; Jhoo, J.H.; Woo, J.I.; Lee, D.Y.",Journal of Korean Medical Science,2015,12.0,20.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Rhodius-Meester et al. 2015,Integrating Biomarkers for Underlying Alzheimer's Disease in Mild Cognitive Impairment in Daily Practice: Comparison of a Clinical Decision Support System with Individual Biomarkers,"Rhodius-Meester, H.F.M.; Koikkalainen, J.; Mattila, J.; Teunissen, C.E.; Barkhof, F.; Lemstra, A.W.; Scheltens, P.; L'otj'onen, J.; Van Der Flier, W.M.",Journal of Alzheimer's Disease,2015,70.0,48.0,2.5,Amsterdam Dementia Cohort,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,Other,Validation on 2nd cohort,87.0,,79.5,89.0,70.0
Rhodius-Meester et al. 2015,Integrating Biomarkers for Underlying Alzheimer's Disease in Mild Cognitive Impairment in Daily Practice: Comparison of a Clinical Decision Support System with Individual Biomarkers,"Rhodius-Meester, H.F.M.; Koikkalainen, J.; Mattila, J.; Teunissen, C.E.; Barkhof, F.; Lemstra, A.W.; Scheltens, P.; L'otj'onen, J.; Van Der Flier, W.M.",Journal of Alzheimer's Disease,2015,85.0,52.0,2.5,Amsterdam Dementia Cohort,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,Other,Validation on 2nd cohort,86.0,,79.5,89.0,70.0
Rhodius-Meester et al. 2015,Integrating Biomarkers for Underlying Alzheimer's Disease in Mild Cognitive Impairment in Daily Practice: Comparison of a Clinical Decision Support System with Individual Biomarkers,"Rhodius-Meester, H.F.M.; Koikkalainen, J.; Mattila, J.; Teunissen, C.E.; Barkhof, F.; Lemstra, A.W.; Scheltens, P.; L'otj'onen, J.; Van Der Flier, W.M.",Journal of Alzheimer's Disease,2015,104.0,67.0,2.5,Amsterdam Dementia Cohort,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,Other,Validation on 2nd cohort,71.0,,64.5,67.0,62.0
Retico et al. 2015,Predictive Models Based on Support Vector Machines: Whole-Brain versus Regional Analysis of Structural MRI in the Alzheimer's Disease,"Retico, A.; Bosco, P.; Cerello, P.; Fiorina, E.; Chincarini, A.; Fantacci, M.E.",Journal of Neuroimaging,2015,136.0,166.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Non-linear SVM,Validation on 2nd cohort,70.9,,,,
Retico et al. 2015,Predictive Models Based on Support Vector Machines: Whole-Brain versus Regional Analysis of Structural MRI in the Alzheimer's Disease,"Retico, A.; Bosco, P.; Cerello, P.; Fiorina, E.; Chincarini, A.; Fantacci, M.E.",Journal of Neuroimaging,2015,136.0,166.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Non-linear SVM,Validation on 2nd cohort,64.0,,,,
Retico et al. 2015,Predictive Models Based on Support Vector Machines: Whole-Brain versus Regional Analysis of Structural MRI in the Alzheimer's Disease,"Retico, A.; Bosco, P.; Cerello, P.; Fiorina, E.; Chincarini, A.; Fantacci, M.E.",Journal of Neuroimaging,2015,136.0,166.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Non-linear SVM,Validation on 2nd cohort,66.0,,,,
Raamana et al. 2015,Thickness network features for prognostic applications in dementia,"Raamana, P.R.; Weiner, M.W.; Wang, L.; Beg, M.F.",Neurobiology of Aging,2015,56.0,130.0,1.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,MKL,repeated single split,68.0,64.0,64.5,65.0,64.0
Ota et al. 2015,"Effects of imaging modalities, brain atlases and feature selection on prediction of Alzheimer's disease","Ota, K.; Oishi, N.; Ito, K.; Fukuyama, H.",Journal of Neuroscience Methods,2015,40.0,40.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Linear SVM,leave one out,75.0,,,,
Minhas et al. 2015,Early alzheimer’s disease prediction in machine learning setup: Empirical analysis with missing value computation,"Minhas, S.; Khanum, A.; Riaz, F.; Alvi, A.; Khan, S.A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2015,78.0,67.0,3,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,Non-linear SVM,10-fold,74.43,68.16,,,
Marra et al. 2015,Usefulness of an Integrated Analysis of Different Memory Tasks to Predict the Progression from Mild Cognitive Impairment to Alzheimer's Disease: The Episodic Memory Score (EMS),"Marra, C.; Gainotti, G.; Fadda, L.; Perri, R.; Lacidogna, G.; Scaricamazza, E.; Piccininni, C.; Quaranta, D.",Journal of Alzheimer's Disease,2015,55.0,143.0,2,Memory Clinic of the Catholic University and Behavioral Neurology laboratory of the IRCCS Santa Lucia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,None,76.7,,,,
Koppara et al. 2015,The latent dementia phenotype δ is associated with cerebrospinal fluid biomarkers of Alzheimer's disease and predicts conversion to dementia in subjects with mild cognitive impairment,"Koppara, A.; Wolfsgruber, S.; Kleineidam, L.; Schmidtke, K.; Frölich, L.; Kurz, A.; Schulz, S.; Hampel, H.; Heuser, I.; Peters, O.; Reischies, F.M.; Jahn, H.; Luckhaus, C.; Hüll, M.; Gertz, H.-J.; Schröder, J.; Pantel, J.; Rienhoff, O.; Rüther, E.; Henn, F.; Wiltfang, J.; Maier, W.; Jessen, F.; Kornhuber, J.; Wagner, M.",Journal of Alzheimer's Disease,2015,134.0,591.0,Not fixed (up to 3 years),DCN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,None,72.0,,,,
Koppara et al. 2015,The latent dementia phenotype δ is associated with cerebrospinal fluid biomarkers of Alzheimer's disease and predicts conversion to dementia in subjects with mild cognitive impairment,"Koppara, A.; Wolfsgruber, S.; Kleineidam, L.; Schmidtke, K.; Frölich, L.; Kurz, A.; Schulz, S.; Hampel, H.; Heuser, I.; Peters, O.; Reischies, F.M.; Jahn, H.; Luckhaus, C.; Hüll, M.; Gertz, H.-J.; Schröder, J.; Pantel, J.; Rienhoff, O.; Rüther, E.; Henn, F.; Wiltfang, J.; Maier, W.; Jessen, F.; Kornhuber, J.; Wagner, M.",Journal of Alzheimer's Disease,2015,134.0,591.0,Not fixed (up to 3 years),DCN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,None,78.0,,,,
Koppara et al. 2015,The latent dementia phenotype δ is associated with cerebrospinal fluid biomarkers of Alzheimer's disease and predicts conversion to dementia in subjects with mild cognitive impairment,"Koppara, A.; Wolfsgruber, S.; Kleineidam, L.; Schmidtke, K.; Frölich, L.; Kurz, A.; Schulz, S.; Hampel, H.; Heuser, I.; Peters, O.; Reischies, F.M.; Jahn, H.; Luckhaus, C.; Hüll, M.; Gertz, H.-J.; Schröder, J.; Pantel, J.; Rienhoff, O.; Rüther, E.; Henn, F.; Wiltfang, J.; Maier, W.; Jessen, F.; Kornhuber, J.; Wagner, M.",Journal of Alzheimer's Disease,2015,134.0,591.0,Not fixed (up to 3 years),DCN,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,None,84.0,,,,
Klöppel et al. 2015,Applying automated MR-based diagnostic methods to the memory clinic: A prospective study,"Klöppel, S.; Peter, J.; Ludl, A.; Pilatus, A.; Maier, S.; Mader, I.; Heimbach, B.; Frings, L.; Egger, K.; Dukart, J.; Schroeter, M.L.; Perneczky, R.; Häussermann, P.; Vach, W.; Urbach, H.; Teipel, S.; Hüll, M.; Abdulkadir, A.",Journal of Alzheimer's Disease,2015,12.0,16.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
"Khan, Westman, et al. 2015",Automated Hippocampal Subfield Measures as Predictors of Conversion from Mild Cognitive Impairment to Alzheimer’s Disease in Two Independent Cohorts,"Khan, W.; Westman, E.; Jones, N.; Wahlund, L.-O.; Mecocci, P.; Vellas, B.; Tsolaki, M.; Kłoszewska, I.; Soininen, H.; Spenger, C.; Lovestone, S.; Muehlboeck, J.-S.; Simmons, A.",Brain Topography,2015,90.0,357.0,1,ADNI & AddNeuroMEd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,OPLS,10-fold,55.0,,64.9,81.1,48.7
"Khan, Aguilar, et al. 2015","A subset of cerebrospinal fluid proteins from a multi-analyte panel associated with brain atrophy, disease classification and prediction in Alzheimer's disease","Khan, W.; Aguilar, C.; Kiddle, S.J.; Doyle, O.; Thambisetty, M.; Muehlboeck, S.; Sattlecker, M.; Newhouse, S.; Lovestone, S.; Dobson, R.; Giampietro, V.; Westman, E.; Simmons, A.",PLoS ONE,2015,72.0,70.0,1,ADNI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Linear SVM,5-fold,95.0,95.1,91.0,87.7,94.3
Kebets et al. 2015,Predicting Pure Amnestic Mild Cognitive Impairment Conversion to Alzheimer's Disease Using Joint Modeling of Imaging and Clinical Data,"Kebets, V.; Richiardi, J.; Assche, M.V.; Goldstein, R.; Meulen, M.V.D.; Vuilleumier, P.; Ville, D.V.D.; Assal, F.","Proceedings - 2015 International Workshop on Pattern Recognition in NeuroImaging, PRNI 2015",2015,11.0,11.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
"Hall, Mattila, et al. 2015",Predicting progression from cognitive impairment to alzheimer’s disease with the disease state index,"Hall, A.; Mattila, J.; Koikkalainen, J.; Lötjonen, J.; Wolz, R.; Scheltens, P.; Frisoni, G.; Tsolaki, M.; Nobili, F.; Freund-Levi, Y.; Minthon, L.; Frölich, L.; Hampel, H.; Visser, P.J.; Soininen, H.",Current Alzheimer Research,2015,297.0,578.0,not fixed,"ADNI, AddNeuroMed, DESCRIPA, Kuopio L-MCI",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,threshold,repeated k-fold,74.0,69.0,69.0,69.0,69.0
"Hall, Mattila, et al. 2015",Predicting progression from cognitive impairment to alzheimer’s disease with the disease state index,"Hall, A.; Mattila, J.; Koikkalainen, J.; Lötjonen, J.; Wolz, R.; Scheltens, P.; Frisoni, G.; Tsolaki, M.; Nobili, F.; Freund-Levi, Y.; Minthon, L.; Frölich, L.; Hampel, H.; Visser, P.J.; Soininen, H.",Current Alzheimer Research,2015,297.0,578.0,not fixed,"ADNI, AddNeuroMed, DESCRIPA, Kuopio L-MCI",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,threshold,repeated k-fold,76.0,70.0,70.0,70.0,70.0
Eskildsen et al. 2015,Structural imaging biomarkers of Alzheimer's disease: Predicting disease progression,"Eskildsen, S.F.; Coupé, P.; Fonov, V.S.; Pruessner, J.C.; Collins, D.L.",Neurobiology of Aging,2015,161.0,227.0,3,ADNI,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LDA,leave one out,62.9,59.3,58.85,56.5,61.2
Eskildsen et al. 2015,Structural imaging biomarkers of Alzheimer's disease: Predicting disease progression,"Eskildsen, S.F.; Coupé, P.; Fonov, V.S.; Pruessner, J.C.; Collins, D.L.",Neurobiology of Aging,2015,161.0,227.0,3,ADNI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LDA,leave one out,71.5,68.8,68.65,67.7,69.6
Eskildsen et al. 2015,Structural imaging biomarkers of Alzheimer's disease: Predicting disease progression,"Eskildsen, S.F.; Coupé, P.; Fonov, V.S.; Pruessner, J.C.; Collins, D.L.",Neurobiology of Aging,2015,161.0,227.0,3,ADNI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,LDA,leave one out,76.3,71.9,71.6,69.6,73.6
"Dukart, Sambataro, et Bertolino 2015","Accurate prediction of conversion to Alzheimer's disease using imaging, genetic, and neuropsychological biomarkers","Dukart, J.; Sambataro, F.; Bertolino, A.",Journal of Alzheimer's Disease,2015,177.0,265.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Bayes,Validation on 2nd cohort,79.4,,75.0,80.0,70.1
"Dukart, Sambataro, et Bertolino 2015","Accurate prediction of conversion to Alzheimer's disease using imaging, genetic, and neuropsychological biomarkers","Dukart, J.; Sambataro, F.; Bertolino, A.",Journal of Alzheimer's Disease,2015,177.0,265.0,2,ADNI,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Bayes,Validation on 2nd cohort,83.0,,80.7,86.7,74.8
"Dukart, Sambataro, et Bertolino 2015","Accurate prediction of conversion to Alzheimer's disease using imaging, genetic, and neuropsychological biomarkers","Dukart, J.; Sambataro, F.; Bertolino, A.",Journal of Alzheimer's Disease,2015,177.0,265.0,2,ADNI,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Bayes,Validation on 2nd cohort,79.6,,75.0,80.0,70.1
"Dukart, Sambataro, et Bertolino 2015","Accurate prediction of conversion to Alzheimer's disease using imaging, genetic, and neuropsychological biomarkers","Dukart, J.; Sambataro, F.; Bertolino, A.",Journal of Alzheimer's Disease,2015,177.0,265.0,2,ADNI,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Bayes,Validation on 2nd cohort,83.3,,80.7,86.7,74.8
